Reg. Nr;Nosaukums;ATVK;Adrese;Kategorija;X koordināta;Y koordināta;Tips;Tipa nosaukums
01914/3774;Reval hotel Latvia, bijusī DUS teritorija;Rīga;Latvijas Republika, Rīga, Brīvības iela, 31;Potenciāli piesārņota vieta;24.11875;56.95552777;21;DUS (GUS)
01914/4371;SIA “OLBOSS”;Rīga;Latvijas Republika, Rīga, Tērbatas iela, 76A;Potenciāli piesārņota vieta;24.13416666;56.95916666;91;Ķīmiskās tīrītavas
01914/4371;SIA “OLBOSS”;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.134167;56.959167;91;Ķīmiskās tīrītavas
01914/4793;SIA “Latvija Statoil” DUS, Muitas iela, 4;Rīga;Latvijas Republika, Rīga, Muitas iela, 4;Potenciāli piesārņota vieta;24.10027777;56.95277777;21;DUS (GUS)
01924/1920;Daugavgrīva  - Flotes ielā, Aizsardzības ministrijas valdījuma objekts;Rīga;Latvijas Republika, Rīga, Flotes iela, 10;Piesārņota vieta;24.04130555;57.04791666;50;Militārie objekti
01924/3757;"A/S ""Dzelzceļtransports""";Rīga;Latvijas Republika, Rīga, Spilves iela, 4;Piesārņota vieta;24.06455555;56.97316666;62;Dzelzceļa objekti
01924/3768;Hanse-Sehrott-Rīga GmbH;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.030222;57.026611;13;Metālapstrādes objekti
01924/3770;Bijušās krievu armijas daļa, degvielas bāze;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.048611;57.029306;21;DUS (GUS)
01924/3771;"A/S ""Būvmateriāli""";Rīga;Latvijas Republika, Rīga, Platā iela, 14C;Potenciāli piesārņota vieta;24.03915833;57.02208888;18;Kokapstrādes rūpn.
01924/3771;"A/S ""Būvmateriāli""";Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.039861;57.02425;18;Kokapstrādes rūpn.
01924/3784;"Bijušā is SIA ""Vairogs""";Rīga;Latvijas Republika, Rīga, Ūdens iela, 25;Potenciāli piesārņota vieta;24.07211111;56.95738888;92;Tirdzniecības objekti
01924/3825;SIA Universalremonts;Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.085278;56.985556;17;Mašīnbūves objekti
01924/3826;"SIA ""Jūras vējš""";Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.086389;56.988333;17;Mašīnbūves objekti
01924/3827;"SIA ""Vižņi""";Rīga;Latvijas Republika, Rīga, Zilā iela, 5;Piesārņota vieta;24.08083333;57.01388888;17;Mašīnbūves objekti
01924/3828;"SIA ""Rīgas jūras  osta"" -  Voleri";Rīga;Latvijas Republika, Rīga, Beķergrāvja iela, 5;Piesārņota vieta;24.08;57.00833333;17;Mašīnbūves objekti
01924/3845;"A/S ""Krēmeri"", bijusī Latvijas upju kuģniecība";Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.081667;57.009722;17;Mašīnbūves objekti
01924/3865;"SIA  ""Spēja""";Rīga;Latvijas Republika, Rīga, Zilā iela, 3;Piesārņota vieta;24.08027777;57.01222222;17;Mašīnbūves objekti
01924/4169;"AS  ""RĪGAS SILTUMS"",  SC  ""DAUGAVGRĪVA""";Rīga;Latvijas Republika, Rīga, Lēpju iela, 4;Potenciāli piesārņota vieta;24.02894722;57.04318333;19;Katlu mājas, koģenerācijas stacijas
01924/4186;SIA “AKD LOGISTIK”;Rīga;Latvijas Republika, Rīga, Daugavgrīvas iela, 77;Potenciāli piesārņota vieta;24.07218333;56.96596111;16;Minerālrūpniecības objekti
01924/4261;SIA Metkon;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.063333;56.955833;13;Metālapstrādes objekti
01924/4261;SIA Metkon;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.063333;56.955833;13;Metālapstrādes objekti
01924/4272;SIA KMM metāls, bronzas lietuve;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.069387;56.965822;13;Metālapstrādes objekti
01924/4286;SIA Cemex, Rīgas ražotne;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.085278;56.980278;16;Minerālrūpniecības objekti
01924/4309;"SIA ""Rīgas laku un krāsu rūpnīca""";Rīga;Latvijas Republika, Rīga, Daugavgrīvas iela, 63;Potenciāli piesārņota vieta;24.07277777;56.95972222;12;Ķīmiskās un naftas rūpniecības objekti
01924/4324;SIA AGA;Rīga;Latvijas Republika, Rīga, Flotes iela, 9;Potenciāli piesārņota vieta;24.01975833;57.04821388;21;DUS (GUS)
01924/4340;SIA Lina - I, bijusī armijas teritorija;Rīga;Latvijas Republika, Rīga, Slokas iela, 52L;Potenciāli piesārņota vieta;24.06472222;56.95638888;14;Vieglās rūpniecības objekti
01924/4433;SIA “Elitis & Co” mēbeļu ražotne;Rīga;Latvijas Republika, Rīga, Tvaikoņu iela, 5;Potenciāli piesārņota vieta;24.075278;56.965;18;Kokapstrādes rūpn.
01924/4537;SIA Korporācija “Magnāts”;Rīga;Latvijas Republika, Rīga, Daugavgrīvas iela, 83;Potenciāli piesārņota vieta;24.07376666;56.9677;18;Kokapstrādes rūpn.
01924/4596;"SIA ""Latvijas propāna gāze"", Rīgas eksporta gāzes uzpildes stacija (REGUS)";Rīga;Latvijas Republika, Rīga, Zilā iela, 20;Potenciāli piesārņota vieta;24.08379722;57.021375;21;DUS (GUS)
01924/4620;SIA “Rīgas satiksme”, DUS;Rīga;Latvijas Republika, Rīga, Kleistu iela, 28;Potenciāli piesārņota vieta;24.03222222;56.97083333;21;DUS (GUS)
01924/4630;SIA “Liepiņš”, DUS;Rīga;Latvijas Republika, Rīga, Jūrmalas gatve, 144;Potenciāli piesārņota vieta;23.98163611;56.95291944;21;DUS (GUS)
01924/4658;SIA “Latvija Statoil” Naftas produktu termināls;Rīga;Latvijas Republika, Rīga, Laivinieku iela, 7;Potenciāli piesārņota vieta;24.08440555;57.04663888;22;Naftas bāzes
01924/4715;"SIA ""Neste Latvija"" DUS Jūrmalas gatvē 46b";Rīga;Latvijas Republika, Rīga, Jūrmalas gatve, 46B;Potenciāli piesārņota vieta;24.03460555;56.95185555;21;DUS (GUS)
01924/4716;"SIA ""Neste Latvija"" DUS Kuldīgas ielā 1";Rīga;Latvijas Republika, Rīga, Kuldīgas iela, 1;Potenciāli piesārņota vieta;24.06910833;56.95391388;21;DUS (GUS)
01924/4746;SIA “Latvija Statoil” DUS, Dzirciema iela 40;Rīga;Latvijas Republika, Rīga, Dzirciema iela, 40;Potenciāli piesārņota vieta;24.05256111;56.958525;21;DUS (GUS)
01924/4775;SIA “Liepiņš” DUS, Ūdens iela 29;Rīga;Latvijas Republika, Rīga, Ūdens iela, 29;Potenciāli piesārņota vieta;24.07152222;56.95761111;21;DUS (GUS)
01924/4792;SIA “Latvija Statoil” DUS, Jūrmalas gatve 5a;Rīga;Latvijas Republika, Rīga, Jūrmalas gatve, 5A;Potenciāli piesārņota vieta;24.05435833;56.95188333;21;DUS (GUS)
01924/4795;"SIA ""Neste Latvija"" Rīgas termināls Laivinieku 5";Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.085556;57.045556;22;Naftas bāzes
01924/585;"SIA ""Mekora"", bijusī 145. kara rūpnīca";Rīga;Latvijas Republika, Rīga, Baldones iela, 1;Piesārņota vieta;24.06548611;56.94932222;13;Metālapstrādes objekti
01924/612;"AS VRC ""Zasulauks""";Rīga;Latvijas Republika, Rīga, Kandavas iela, 42A;Piesārņota vieta;24.03777777;56.9475;17;Mašīnbūves objekti
01924/618;"SIA ""Bolderājas kuģu remonta rūpnīca""";Rīga;Latvijas Republika, Rīga, Flotes iela, 13;Piesārņota vieta;24.02;57.05;17;Mašīnbūves objekti
01924/619;"SIA ""DSE"", bijusī Spilves lidostas naftas bāze";Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.068611;56.975;65;Noliktavas
01924/624;"SIA ""KRS""";Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.083889;56.989167;13;Metālapstrādes objekti
01924/628;"Komercfirma ""Silvers"" bijusī PSRS armijas degvielas bāze";Rīga;Latvijas Republika, Rīga, Spilves iela, 8E;Piesārņota vieta;24.06472222;56.97472222;65;Noliktavas
01924/637;"SIA ""Rīgas tilti"", bijusī PSRS armijas teritorija";Rīga;Latvijas Republika, Rīga, Ēdoles iela, 6;Piesārņota vieta;24.06277777;56.97583333;21;DUS (GUS)
01924/665;"SIA ""Freja"", bijusī PSRS armijas teritorija";Rīga;Latvijas Republika, Rīga, Flotes iela, 14;Piesārņota vieta;24.02312222;57.0494;50;Militārie objekti
01924/666;"SIA ""La Con"", bijusī PSRS armijas degvielas bāze";Rīga;Latvijas Republika, Rīga, Flotes iela, 10;Piesārņota vieta;24.03777777;57.04805555;22;Naftas bāzes
01924/667;"SIA ""Blago Vest""";Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.061944;57.036667;64;Piestātnes, pārkraušanas vietas
01924/667;"SIA ""Blago Vest""";Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.061944;57.036667;64;Piestātnes, pārkraušanas vietas
01924/668;"A/S ""Bolderāja"" bijušās attīrīšanas iekārtu katlumāja";Rīga;Latvijas Republika, Rīga, Zilā iela, 25;Piesārņota vieta;24.06527777;57.02888888;33;Notekūdeņu attīrīšanas iekārtas
01924/670;"Bijusī PSRS armijas teritorija - SIA ""Latpols""";Rīga;Latvijas Republika, Rīga, Ēdoles iela, 5;Piesārņota vieta;24.05777777;56.97694444;50;Militārie objekti
01924/673;"Bijusī Rīgas sadzīves atkritumu izgāztuve ""Kleisti""";Rīga;Latvijas Republika, Rīga, Kleistu iela, 60;Piesārņota vieta;24.03094722;57.00095833;31;Vecas atkritumu izgāztuves
01934/1721;ZS 14.bataljons, Aizsardzības ministrijas valdījuma objekts;Rīga;Latvijas Republika, Rīga, Rencēnu iela, 36;Potenciāli piesārņota vieta;24.23;56.92313888;50;Militārie objekti
01934/1728;ZS 14.bataljons, Aizsardzības ministrijas valdījuma objekts;Rīga;Latvijas Republika, Rīga, Lubānas iela, 39;Potenciāli piesārņota vieta;24.16777777;56.93333333;50;Militārie objekti
01934/1899;SIA JLA DUS, Stopiņu pagsts;Stopiņu novads;Latvijas Republika, Stopiņu nov., Rumbula, Augstmaņi;Piesārņota vieta;24.27120277;56.872325;21;DUS (GUS)
01934/3746;"Bijusī  ""Latvijas nafta"" degvielas bāze";Rīga;Latvijas Republika, Rīga, Salaspils iela, 4;Potenciāli piesārņota vieta;24.17877777;56.92325;22;Naftas bāzes
01934/3747;"Bijusī ""Kompresora"" teritorija Autodarbnīcas";Rīga;Latvijas Republika, Rīga, Kārļa Ulmaņa gatve, 5B;Potenciāli piesārņota vieta;24.10408333;56.91980555;92;Tirdzniecības objekti
01934/3752;Rumbula - bijušais lidlauks, Areāls-15;Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.226111;56.889167;22;Naftas bāzes
01934/3753;Rumbula - bijušais lidlauks, Areāls b-34;Rīga;Latvijas Republika, Rīga;Piesārņota vieta;24.244722;56.880833;92;Tirdzniecības objekti
01934/3754;"SIA ""Reaģents A""";Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.19225;56.919583;12;Ķīmiskās un naftas rūpniecības objekti
01934/3758;Jāņuvārtu iela;Rīga;Latvijas Republika, Rīga;Potenciāli piesārņota vieta;24.179444;56.926278;62;Dzelzceļa objekti
